companyFullName,city,district,positionName,workYear,jobNature,salary,eduction,companySize,financeStage,industryField,positionAdvantage,positionLables,industryLables,companyLableList,jobDetail
﻿博易智软（北京）技术股份有限公司,北京,海淀区,BI工程师/数据分析师,3-5年,全职,15k-20k,,150-500人,上市公司,"移动互联网,金融","平台好,领导好,薪资高,团队好","银行,报表开发","银行,报表开发","年底双薪,股票期权,带薪年假,美女多",
﻿大连汇融信息技术有限公司,大连,沙河口区,数据分析师,1-3年,全职,4k-8k,,50-150人,初创型(天使轮),金融,商圈金融、大数据分析,,,"公司氛围好,管理规范,五险一金,节日礼物",
﻿灵思云途营销顾问股份有限公司,北京,朝阳区,数据分析师,1-3年,全职,15k-30k,,500-2000人,成熟型(D轮及以上),"数据服务,广告营销",待遇好,"电商,数据挖掘,SQL","电商,数据挖掘,SQL","节日礼物,免费班车,带薪年假,岗位晋升",
﻿北京清佰华通科技有限公司,北京,海淀区,数据分析师,1-3年,全职,10k-20k,,50-150人,成长型(不需要融资),"企业服务,金融","平台高大上,发展前景好,领导团队好,福利好","数据挖掘,建模,SPSS",,"带薪年假,绩效奖金,股票期权,午餐补助",
﻿北京鱼行天下网络科技有限公司,北京,朝阳区,数据分析师,1-3年,全职,10k-20k,,50-150人,成长型(B轮),旅游,"发展空间,优秀团队,多薪制","专员,商业,业务运营,大数据,SPSS",,"五险一金,专项奖金,半年调薪,团建旅游",
﻿北京智阅网络科技有限公司,北京,朝阳区,数据分析师,3-5年,全职,8k-15k,,150-500人,上市公司,"移动互联网,文化娱乐","上市公司,地铁附近,优秀团队,环境明亮","汽车,运营,数据挖掘,SPSS","汽车,运营,数据挖掘,SPSS","绩效奖金,年终分红,专项奖金,五险一金",
﻿浙江新光游购科技有限公司,杭州,上城区,数据分析工程师,3-5年,全职,10k-20k,,150-500人,成长型(不需要融资),"移动互联网,O2O",福利好,,,,
﻿北京深极智能科技有限公司,北京,海淀区,数据分析师,1-3年,全职,10k-20k,,少于15人,初创型(天使轮),其他,"上升空间,团队融洽,领导nic","游戏,数据挖掘,SPSS","游戏,数据挖掘,SPSS",,
﻿深圳市天下房仓科技有限公司,深圳,龙华新区,数据分析员,不限,全职,4k-8k,,150-500人,成长型(B轮),"企业服务,旅游","平台,发展空间发,氛围好","BI,SPSS,数据管理",,"股票期权,岗位晋升,扁平管理,带薪年假",
﻿拉扎斯网络科技（上海）有限公司,上海,普陀区,资深数据分析师,3-5年,全职,12k-24k,,2000人以上,成熟型(D轮及以上),移动互联网,14薪,"大数据,数据挖掘,SPSS,sas",,"节日礼物,绩效奖金,年度旅游,岗位晋升",
﻿北京诸葛云游科技有限公司,北京,朝阳区,数据分析,1-3年,全职,15k-20k,,50-150人,成长型(A轮),"企业服务,数据服务","五险一金,期权年假,年终奖,最长春节假","大数据,数据挖掘,SPSS",,"年底双薪,带薪年假,五险一金,期权",
﻿北京寄云鼎城科技有限公司,上海,徐汇区,数据分析工程师,1-3年,全职,15k-25k,,50-150人,成长型(A轮),"移动互联网,数据服务",五险一金 ，立即上岗，团队气氛轻松,"大数据,数据库,SQL,数据开发",,"绩效奖金,弹性工作,年度旅游,岗位晋升",
﻿广州银行股份有限公司信用卡中心,广州,天河区,数据分析师,1-3年,全职,10k-20k,,2000人以上,成熟型(不需要融资),金融,"大数据,互联网金融,金融科技,机器学习","算法,数据挖掘,机器学习,深度学习,大数据",,"带薪年假,午餐补助,发展平台,金融",
﻿信和惠民投资管理（北京）有限公司,北京,朝阳区,数据分析师（总部）,3-5年,全职,10k-20k,,2000人以上,成熟型(不需要融资),"移动互联网,金融",稳定,"金融,高级,大数据,数据挖掘","金融,高级,大数据,数据挖掘","年底双薪,绩效奖金,午餐补助,带薪年假",
﻿北京丽兹行房地产顾问有限公司,北京,朝阳区,运营管理/数据分析❤8K起,1-3年,全职,9k-12k,,500-2000人,成熟型(不需要融资),"企业服务,广告营销","大牛多,平台广,学得多,活动多","高级,大数据,业务运营,SPSS",,"专项奖金,绩效奖金,定期体检,带薪年假",
